// ---------------------------------------------------- Amped Shield ----------------------------------------------------

//new entry "Shout_AmpedShield"
//type "SpellData"
//data "SpellType" "Shout"
//using "Interrupt_Shield_Sorcerer"
//data "Level" "1"
//data "SpellSchool" "Abjuration"
//data "DisplayName" "h87f7cd3bg6a46g420fg8e56g46e90dbcf8a8"
//data "Description" "hb750c863gb5c8g4f95gbec8g18cc02526516"
//data "UseCosts" "ReactionPoint:1;AmpedShield:1"
//data "MemoryCost" ""
//data "RootSpellID" ""
//data "PowerLevel" ""
//data "InterruptPrototype" "Interrupt_Shield_Sorcerer"

new entry "Shout_AmpedShield"
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "SpellSchool" "Abjuration"
data "TargetConditions" "Self()"
data "Icon" "Spell_Shield"
// Shield
data "DisplayName" "h87f7cd3bg6a46g420fg8e56g46e90dbcf8a8;2"
// When you are about to be hit by an enemy, increase your <LSTag Tooltip="ArmourClass">Armour Class</LSTag> by 5. You take no damage from <LSTag Type="Spell" Tooltip="Projectile_MagicMissile">Magic Missile</LSTag>.
data "Description" "hb750c863gb5c8g4f95gbec8g18cc02526516;4"
data "DescriptionParams" "5"
data "TooltipStatusApply" "ApplyStatus(SHIELD,100,1)"
data "CastTextEvent" "Cast"
data "UseCosts" "ReactionActionPoint:1;AmpedShield:1"
data "SpellAnimation" "9122eb08-93f1-4010-a275-f5ae3ec7c76e,,;,,;2860e825-ec12-4008-8471-d797fc00abc4,,;b6540e92-9e06-4695-9d8e-552d5eac45c2,,;5301d674-b7da-47b6-b4cf-2802ba33a9e9,,;,,;86b3cf93-21fb-4a3d-bed9-97d0a567d084,,;,,;,,"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;IsLinkedSpellContainer"
data "MemoryCost" "1"
data "InterruptPrototype" "Interrupt_AmpedShield"

// ---------------------------------------------------- Forceful Surge ----------------------------------------------------

new entry "Shout_ForcefulSurge"
type "SpellData"
data "SpellType" "Shout"
data "SpellProperties" "AI_IGNORE:ApplyStatus(FORCEFUL_SURGE,100,10)"
data "TargetConditions" "Self()"
data "Icon" "Action_Barbarian_Rage"
data "DisplayName" "ha50dce00g7f73g468bga014g285d495bf43d"
data "Description" "hcef82760g5c98g472bga617g36781354a508"
data "DescriptionParams" "LevelMapValue(ForcefulSurgeDamage)"
data "TooltipStatusApply" "ApplyStatus(FORCEFUL_SURGE,100,10)"
data "CastSound" "Action_Cast_Rage"
data "TargetSound" "Action_Impact_Rage"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1;ForcefulSurge:1"
data "SpellAnimation" "50e7cd15-5b95-47e9-b6f8-ed7900d23d9d,,;,,;289b4f53-3ca5-4dff-a1d4-e84a84a283f0,,;772a34bf-06c1-43ee-ae7b-1a1ffd3fef9e,,;03239618-40c7-47ab-a7b4-d2e0b111e5f7,,;,,;bc09e561-370b-4307-88d7-6462b6fbabec,,;,,;,,"
data "VerbalIntent" "Buff"
data "SpellStyleGroup" "Class"
data "HitAnimationType" "None"
data "SpellAnimationIntentType" "Aggressive"
//data "Requirements" "Combat"
data "RequirementConditions" "not HasStatus('FORCEFUL_SURGE')"
data "PrepareEffect" "f5269188-8099-49b1-8515-b549bd8b61b9"
data "CastEffect" "3b4c35ad-4d0a-4889-8408-46181439be42"
data "SpellSoundMagnitude" "Big"
data "Sheathing" "DontChange"

new entry "Shout_EndForcefulSurge"
type "SpellData"
data "SpellType" "Shout"
data "SpellProperties" "RemoveStatus(FORCEFUL_SURGE);"
data "Icon" "Action_Barbarian_EndRage"
data "DisplayName" "hf874fbe8g035fg46b7g8df0g9762415d0337"
data "Description" "h33972981g0a5ag43d1g94b9gebbb641543ab"
data "CastSound" "Action_Cast_Rage_End"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "22ddf59a-5e0a-41c1-840c-ae9ba5704e63,,;,,;60b207c9-6751-4144-a766-5173ddee5ec7,,;fced40ee-7eaa-4054-9354-8c1ea7fbb0eb,,;93317549-2754-4931-98ce-1d67f899318f,,;,,;9406f0da-ac4e-4d4a-b98f-798102dd300e,,;,,;,,"
data "VerbalIntent" "Utility"
data "SpellStyleGroup" "Class"
data "SpellFlags" "Temporary"
data "SpellAnimationIntentType" "Peaceful"
data "PrepareEffect" "310e3db7-e1df-4741-b1f6-cf1cf13ce5b3"
data "CastEffect" "d997104a-8f85-431d-a089-bc0a452bd4b9"
data "SpellSoundMagnitude" "Big"
data "Sheathing" "Somatic"

// ---------------------------------------------------- Ethereal Overlord ----------------------------------------------------

new entry "Shout_EtherealOverlord"
type "SpellData"
data "SpellType" "Shout"
data "SpellProperties" "AI_IGNORE:ApplyStatus(ETHEREAL_OVERLORD,100,10)"
data "TargetConditions" "Self()"
data "Icon" "Action_Barbarian_Rage"
data "DisplayName" "ha493ec62gb506g41b4gae63g67d71c3ef6a3"
data "Description" "h38645bbdg4472g4484g8bf2g60d7e7ee3ba9"
data "DescriptionParams" "LevelMapValue(ForcefulSurgeDamage)"
data "TooltipStatusApply" "ApplyStatus(ETHEREAL_OVERLORD,100,10)"
data "CastSound" "Action_Cast_Rage"
data "TargetSound" "Action_Impact_Rage"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1;ForcefulSurge:1"
data "SpellAnimation" "50e7cd15-5b95-47e9-b6f8-ed7900d23d9d,,;,,;289b4f53-3ca5-4dff-a1d4-e84a84a283f0,,;772a34bf-06c1-43ee-ae7b-1a1ffd3fef9e,,;03239618-40c7-47ab-a7b4-d2e0b111e5f7,,;,,;bc09e561-370b-4307-88d7-6462b6fbabec,,;,,;,,"
data "VerbalIntent" "Buff"
data "SpellStyleGroup" "Class"
data "HitAnimationType" "None"
data "SpellAnimationIntentType" "Aggressive"
//data "Requirements" "Combat"
data "RequirementConditions" "not HasStatus('ETHEREAL_OVERLORD')"
data "PrepareEffect" "f5269188-8099-49b1-8515-b549bd8b61b9"
data "CastEffect" "3b4c35ad-4d0a-4889-8408-46181439be42"
data "SpellSoundMagnitude" "Big"
data "Sheathing" "DontChange"

new entry "Shout_EndEtherealOverlord"
type "SpellData"
data "SpellType" "Shout"
data "SpellProperties" "RemoveStatus(ETHEREAL_OVERLORD);"
data "Icon" "Action_Barbarian_EndRage"
data "DisplayName" "h73af3e4cg4fa0g41fegb57fg8583cd6fee97"
data "Description" "h6ce54556g0801g42feg8adcga5591eed6fab"
data "CastSound" "Action_Cast_Rage_End"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "22ddf59a-5e0a-41c1-840c-ae9ba5704e63,,;,,;60b207c9-6751-4144-a766-5173ddee5ec7,,;fced40ee-7eaa-4054-9354-8c1ea7fbb0eb,,;93317549-2754-4931-98ce-1d67f899318f,,;,,;9406f0da-ac4e-4d4a-b98f-798102dd300e,,;,,;,,"
data "VerbalIntent" "Utility"
data "SpellStyleGroup" "Class"
data "SpellFlags" "Temporary"
data "SpellAnimationIntentType" "Peaceful"
data "PrepareEffect" "310e3db7-e1df-4741-b1f6-cf1cf13ce5b3"
data "CastEffect" "d997104a-8f85-431d-a089-bc0a452bd4b9"
data "SpellSoundMagnitude" "Big"
data "Sheathing" "Somatic"
